csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
collection-assertion,CollectionAssertion,assertionTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionType is given.,string,default,,,gum,,,,
collection-assertion,CollectionAssertion,assertionMadeDate,The date on which an Assertion was created.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
collection-assertion,CollectionAssertion,assertionEffectiveDate,The date on which the state or measurement of an Assertion was deemed to first be in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,
collection-assertion,CollectionAssertion,assertionValue,"An asserted value, if it is not numeric.",string,default,,`UV-light`,gum,,,,
collection-assertion,CollectionAssertion,assertionValueIRI,The IRI of the controlled vocabulary value for the value of an Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,`https://vocab.nerc.ac.uk/collection/S10/current/S103/`,gum,,,,
collection-assertion,CollectionAssertion,assertionValueVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionValue is given.,string,default,,`https://vocab.nerc.ac.uk/collection/S10/current/`,gum,,,,
collection-assertion,CollectionAssertion,assertionValueNumeric,"An asserted value, if it is numeric.",number,default,,`0`; `1`; `14.5`,gum,,,,
collection-assertion,CollectionAssertion,assertionUnit,The units associated with the value in assertionValueNumeric.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `g`; `l`; `s`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,gum,http://rs.tdwg.org/dwc/terms/measurementUnit,,,
collection-assertion,CollectionAssertion,assertionUnitIRI,The IRI for the units of an assertionValueNumeric.,string,default,,,gum,,,,
collection-assertion,CollectionAssertion,assertionUnitVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionUnit is given.,string,default,,,gum,,,,
collection-assertion,CollectionAssertion,assertionBy,"A list (concatenated and separated) of names of people, groups, or organizations who made an Assertion.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,
collection-assertion,CollectionAssertion,assertionByID,An identifier for an Agent who made an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),gum,,,,
collection-assertion,CollectionAssertion,assertionProtocol,"The names of, references to, or descriptions of the methods or protocols used in making an Assertion.",string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementMethod,,,
collection-assertion,CollectionAssertion,assertionProtocolID,An identifier for a Protocol used to make an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/iri/measurementMethod,,,
collection-assertion,CollectionAssertion,assertionCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with an Assertion.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
collection-assertion,CollectionAssertion,assertionRemarks,Comments or notes about an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,
collection-media,CollectionMedia,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,False,
collection-media,CollectionMedia,collectionID,An identifier for a Collection.,string,default,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the GBIF Registry of Scientific Collections (https://www.gbif.org/grscicoll).",`https://www.gbif.org/grscicoll/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`,dwc,http://rs.tdwg.org/dwc/terms/collectionID,True,False,
collection-media,CollectionMedia,mediaSubjectCategory,A term to describe the content of the image by a value from a controlled vocabulary.,string,default,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and MAY be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI SHOULD be used, or, as long as all unqualified terms in all vocabularies are unique, metadata SHOULD provide the source vocabularies using the Subject Category Vocabulary term. The value SHOULD be a string, whose text can also be in the form of a URL. These guidelines on value format are less restrictive than is specified by the IPTC guidelines.",`herbarium sheet scan`,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
collection-media,CollectionMedia,mediaSubjectCategoryIRI,The IRI of the controlled vocabulary value for the subject category of the Media instance.,string,default,,,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
collection-media,CollectionMedia,mediaSubjectCategoryVocabulary,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,string,default,"The AC recommended vocabularies do not need to be cited here. There is no required linkage between individual Subject Category terms and the vocabulary; the mechanism is intended to support discovery of the normative URI for a term, but not guarantee it.",`herbarium sheet scan`,ac,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,,,
collection,Collection,collectionID,An identifier for a Collection.,string,default,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the GBIF Registry of Scientific Collections (https://www.gbif.org/grscicoll).",`https://www.gbif.org/grscicoll/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`,dwc,http://rs.tdwg.org/dwc/terms/collectionID,True,True,
collection,Collection,collectionType,The category that best matches the nature of a Collection.,string,default,Recommended best practice is to use a controlled vocabulary.,,gum,,,,
collection,Collection,collectionTypeIRI,The IRI of the controlled vocabulary value for the type of Collection.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
collection,Collection,collectionTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in collectionType is given.,string,default,,,gum,,,,
collection,Collection,collectionName,The name of a Collection.,string,default,,,gum,,,,
collection,Collection,collectionCode,"The name, acronym, coden, or initialism identifying a Collection.",string,default,,`Mammals`; `Hildebrandt`; `EBIRD`; `VP`,dwc,http://rs.tdwg.org/dwc/terms/collectionCode,,,
collection,Collection,institutionID,The identifier for an institution.,string,default,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Research Organization Registry (ROR) or the GBIF Registry of Scientific Collections (https://www.gbif.org/grscicoll).",`https://ror.org/015hz7p22`; `http://grscicoll.org/institution/museum-southwestern-biology`; `https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381`,dwc,http://rs.tdwg.org/dwc/terms/institutionID,,,
collection,Collection,institutionName,The name of an institution or organization.,string,default,,,gum,,,,
collection,Collection,institutionCode,The name (or acronym) in use by an institution.,string,default,,`MVZ`; `FMNH`; `CLO`; `UCMP`,dwc,http://rs.tdwg.org/dwc/terms/institutionCode,,,
event-agent-role,EventAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
event-agent-role,EventAgentRole,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,False,
event-agent-role,EventAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
event-agent-role,EventAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
event-agent-role,EventAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definition of the value for agentRole is given.,string,default,,,gum,,,,
event-agent-role,EventAgentRole,agentRoleOrder,The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRoleTargetID and agentRoleTargetType.,integer,default,"One could use agentRoleOrder to create an ordered list of collectors for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
event-agent-role,EventAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
